1AHO	A
1B67	A
1B9W	A
1BM8	A
1BXY	A
1C4Q	A
1C5E	A
1CC8	A
1DFU	P
1DGW	X
1DJ8	A
1DP7	P
1EAY	C
1EGW	A
1EZG	A
1FD3	A
1FLT	X
1FS1	A
1G2R	A
1G6X	A
1G8E	A
1G8Q	A
1GOT	G
1GVD	A
1GVP	A
1GXU	A
1H2S	B
1H8P	A
1HFE	S
1HTR	P
1HYP	A
1HZ6	A
1I27	A
1I2T	A
1IQZ	A
1IRQ	A
1J2J	B
1JCD	B
1JO0	A
1JOS	A
1K5N	B
1KVE	B
1L9L	A
1LNI	A
1LTS	C
1M1R	A
1MK0	A
1MKK	A
1MN8	A
1MWQ	A
1MZ9	A
1N0Q	B
1N7S	D
1NH2	B
1NKD	A
1NKZ	A
1OAI	A
1ODV	A
1OK0	A
1OQJ	A
1P9G	A
1PSR	A
1PZW	A
1Q2H	A
1Q5Y	A
1Q7L	B
1R6J	A
1RFY	A
1RGX	A
1SMX	A
1SVF	A
1T1D	A
1T8K	A
1TGR	A
1U07	A
1U0S	A
1U84	A
1UCS	A
1UFI	A
1UGI	A
1UTG	A
1V05	A
1V5I	B
1V6P	A
1V74	B
1VBW	A
1VC3	B
1VCC	A
1WAP	A
1WMH	A
1WQJ	B
1WRD	A
1X6I	A
1XMK	A
1XMT	A
1XYI	A
1YN3	A
1YTV	M
1ZKE	D
1ZV1	A
1ZZK	A
2A26	A
2AD6	B
2AIB	A
2AYD	A
2B97	A
2BA2	A
2BAY	A
2BEQ	D
2BKY	A
2BT9	A
2BV2	A
2CB8	A
2CC6	A
2CCQ	A
2CCV	A
2CG7	A
2COV	D
2CS7	A
2CVI	A
2DYO	B
2E1F	A
2EFV	A
2F60	K
2FCW	B
2FE5	A
2FHZ	B
2FJ9	A
2FMA	A
2G7O	A
2GOM	A
2GUV	A
2HBA	A
2HDZ	A
2HIN	A
2HNU	A
2HS1	A
2HWN	A
2IC6	A
2IP6	A
2IZX	B
2J5Y	A
2J6Y	A
2JDI	I
2O1K	A
2O9S	A
2ODK	A
2P3H	A
2P5K	A
2P9X	A
2PNE	A
2Q3G	A
2Q6Q	A
2QCP	X
